GraphIndex,Vertices,Edges,Prim_TotalCost,Kruskal_TotalCost,Prim_TimeMs,Kruskal_TimeMs,Prim_Comparisons,Kruskal_Comparisons,Prim_Unions,Kruskal_Unions,Prim_OtherOps,Kruskal_OtherOps
1,774,1818,194985.00,194985.00,2.668,0.441,4271,9191,0,773,2818,1818
2,558,976,177159.00,177159.00,1.042,0.561,2229,4888,0,557,1670,976
3,340,567,111249.00,111249.00,0.187,0.118,1298,2879,0,339,1008,567
4,816,1438,250817.00,250817.00,0.310,0.251,3276,7330,0,815,2432,1438
5,597,1770,125717.00,125717.00,0.323,0.319,4142,8632,0,596,2398,1770
6,659,1004,217115.00,217115.00,0.198,0.069,2251,4977,0,658,1804,1004
7,408,1038,94354.00,94354.00,0.293,0.073,2437,5308,0,407,1538,1038
8,670,1799,139832.00,139832.00,0.334,0.084,4217,9725,0,669,2578,1799
9,899,2161,217199.00,217199.00,0.425,0.119,5053,11438,0,898,3260,2161
10,630,1700,133366.00,133366.00,0.318,0.064,3957,9253,0,629,2374,1700
